Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g4,Active Power,Mode 1,0.6062,-0.08,5,0.3659240108039302,0.3545054869281955,0.4437990952328606
g4,Active Power,Mode 4,1.1211,-0.3373,1,0.40262927052156805,0.40262927052156805,0.40262927052156805
g4,Current,Mode 1,0.6062,-0.08,5,0.2617265133133461,0.2763273716677954,0.345088093748785
g4,Current,Mode 4,1.1211,-0.3373,2,0.4523652353478277,0.4523652353478277,0.4523652353478277
g4,Reactive Power,Mode 1,0.6062,-0.08,4,0.2747870871713678,0.27070322471392183,0.2747870871713678
g4,Voltage,Mode 1,0.6062,-0.08,5,0.24928975587272664,0.2666755493626986,0.2999467887462487
g5,Active Power,Mode 1,0.6062,-0.08,5,0.3521105526427749,0.3385743501452062,0.38423215084322937
g5,Active Power,Mode 4,1.1211,-0.3373,1,0.25359259475831025,0.25359259475831025,0.25359259475831025
g5,Active Power,Mode 7,1.4953,-0.7033,1,0.3597503257274587,0.3597503257274587,0.3597503257274587
g5,Current,Mode 1,0.6062,-0.08,4,0.2789955382407193,0.28262912886173985,0.3198959170177072
g5,Current,Mode 4,1.1211,-0.3373,2,0.31504988560936104,0.31504988560936104,0.390881757556974
g5,Current,Mode 5,1.3155,-0.4033,1,0.3311054668172687,0.3311054668172687,0.3311054668172687
g5,Reactive Power,Mode 1,0.6062,-0.08,10,0.5408149982715398,0.45801483222462835,0.6452911734434247
g5,Reactive Power,Mode 4,1.1211,-0.3373,1,0.2002987655081346,0.2002987655081346,0.2002987655081346
g5,Voltage,Mode 1,0.6062,-0.08,13,0.388302545474493,0.4900244914329846,0.8428738843090433
g5,Voltage,Mode 4,1.1211,-0.3373,1,0.1491212028339687,0.1491212028339687,0.1491212028339687
g6,Active Power,Mode 1,0.6062,-0.08,5,0.2619521869639362,0.2872197543841352,0.3390946732208459
g6,Active Power,Mode 4,1.1211,-0.3373,2,0.34578066319776146,0.34578066319776146,0.34578066319776146
g6,Current,Mode 1,0.6062,-0.08,5,0.2839189385290381,0.28237456290500657,0.3170198349819062
g6,Current,Mode 4,1.1211,-0.3373,2,0.3827251917295315,0.3827251917295315,0.3827251917295315
g6,Reactive Power,Mode 1,0.6062,-0.08,4,0.2701147274457905,0.26803495944150635,0.2701147274457905
g6,Voltage,Mode 1,0.6062,-0.08,4,0.25823186096995165,0.3185528029478888,0.5164329622293609
g6,Voltage,Mode 4,1.1211,-0.3373,1,0.06062526622991876,0.06062526622991876,0.06062526622991876
g7,Active Power,Mode 1,0.6062,-0.08,4,0.27131279675357006,0.27931063942896395,0.3309534406364205
g7,Active Power,Mode 4,1.1211,-0.3373,2,0.3663399473787892,0.3663399473787892,0.3663399473787892
g7,Current,Mode 1,0.6062,-0.08,5,0.2838830438148252,0.2802021558615597,0.3343743655623831
g7,Current,Mode 4,1.1211,-0.3373,1,0.39065415371210727,0.39065415371210727,0.39065415371210727
g7,Reactive Power,Mode 1,0.6062,-0.08,7,0.24568881294474565,0.29410747364810064,0.4959540737217181
g7,Reactive Power,Mode 4,1.1211,-0.3373,1,0.32247621704846635,0.32247621704846635,0.32247621704846635
g7,Voltage,Mode 1,0.6062,-0.08,8,0.2366849142450509,0.33289969024911936,0.5742894080535907
